,Fast,Slow,CAGR,Sharpe,Drawdown,Returns
Strategy,14,80,0.08,0.7,-0.3,12.302075192294264
Strategy,10,106,0.08,0.71,-0.29,12.297628753404487
Strategy,13,70,0.08,0.71,-0.28,12.28592170059886
Strategy,14,92,0.08,0.7,-0.27,12.276329565131581
Strategy,16,70,0.08,0.71,-0.29,12.261303456216082
Strategy,10,107,0.08,0.71,-0.3,12.257549941004578
Strategy,13,82,0.08,0.71,-0.28,12.230779556122455
Strategy,16,69,0.08,0.71,-0.28,12.225946483399063
Strategy,10,63,0.08,0.72,-0.22,12.215430953304814
Strategy,16,68,0.08,0.71,-0.26,12.146584045534762
Strategy,10,62,0.08,0.72,-0.24,12.14414170823598
Strategy,17,123,0.08,0.69,-0.3,12.124825881744375
Strategy,13,99,0.08,0.7,-0.3,12.113744076538648
Strategy,17,70,0.08,0.71,-0.3,12.103610482969918
Strategy,13,64,0.08,0.71,-0.28,12.088596708672663
Strategy,15,62,0.08,0.71,-0.29,12.078686465066843
Strategy,12,69,0.08,0.71,-0.29,12.051462052678854
Strategy,11,70,0.08,0.71,-0.27,12.040018563150532
Strategy,14,103,0.08,0.7,-0.3,12.010414060904441
Strategy,11,103,0.08,0.7,-0.3,11.940571174664527
Strategy,11,107,0.08,0.7,-0.25,11.93314438340015
Strategy,17,69,0.08,0.7,-0.3,11.92456237859129
Strategy,10,61,0.08,0.72,-0.24,11.911078296035644
Strategy,11,64,0.08,0.71,-0.23,11.903626805444464
Strategy,11,110,0.08,0.7,-0.29,11.901948046737605
Strategy,15,77,0.08,0.7,-0.28,11.868788590153436
Strategy,11,106,0.08,0.7,-0.25,11.860395658937131
Strategy,12,68,0.08,0.7,-0.29,11.846451060489727
Strategy,14,91,0.08,0.69,-0.3,11.830862912239395
Strategy,13,85,0.08,0.7,-0.3,11.814455754152142
Strategy,16,65,0.08,0.7,-0.26,11.80831148341067
Strategy,16,72,0.08,0.7,-0.28,11.80534267600853
Strategy,14,102,0.08,0.69,-0.3,11.782862511349352
Strategy,16,64,0.08,0.7,-0.27,11.76239441247726
Strategy,15,66,0.08,0.7,-0.29,11.718237889739347
Strategy,18,116,0.08,0.68,-0.29,11.717989038378713
Strategy,16,63,0.08,0.7,-0.28,11.707098155356732
Strategy,15,76,0.08,0.69,-0.28,11.657275598524002
Strategy,11,62,0.08,0.71,-0.23,11.650711976231223
Strategy,18,117,0.08,0.68,-0.29,11.646222334077011
Strategy,12,65,0.08,0.7,-0.26,11.644194304355985
Strategy,14,93,0.08,0.69,-0.3,11.631652558298395
Strategy,12,107,0.08,0.69,-0.25,11.616370165820785
Strategy,17,72,0.08,0.69,-0.28,11.595994728895755
Strategy,16,74,0.08,0.69,-0.25,11.594786036342784
Strategy,11,109,0.08,0.69,-0.29,11.571308581837435
Strategy,14,62,0.08,0.7,-0.26,11.566798134754874
Strategy,12,67,0.08,0.7,-0.28,11.48936194428418
Strategy,16,73,0.08,0.69,-0.28,11.48869279201745
Strategy,12,64,0.08,0.7,-0.25,11.488258178202818
Strategy,17,120,0.08,0.68,-0.26,11.466615953213987
Strategy,12,108,0.08,0.69,-0.26,11.458680502588384
Strategy,15,98,0.08,0.68,-0.29,11.450958861984807
Strategy,14,101,0.08,0.68,-0.3,11.418015523458305
Strategy,15,78,0.08,0.68,-0.3,11.399367086610667
Strategy,15,100,0.08,0.68,-0.3,11.378512397340945
Strategy,13,120,0.08,0.68,-0.29,11.367537176920978
Strategy,12,123,0.08,0.68,-0.3,11.366752397361987
Strategy,16,66,0.08,0.69,-0.26,11.336412742463029
Strategy,15,99,0.08,0.68,-0.29,11.312848724145743
Strategy,17,63,0.08,0.69,-0.29,11.271781514705294
Strategy,17,64,0.08,0.69,-0.28,11.257503709607928
Strategy,17,71,0.08,0.68,-0.29,11.225024179205548
Strategy,15,101,0.08,0.68,-0.3,11.203957746425953
Strategy,14,106,0.08,0.68,-0.26,11.203746932424744
Strategy,11,116,0.08,0.68,-0.3,11.19561629243604
Strategy,16,122,0.08,0.67,-0.28,11.191650911696058
Strategy,17,121,0.08,0.67,-0.3,11.175330051520522
Strategy,18,115,0.08,0.67,-0.27,11.161892728913218
Strategy,18,114,0.08,0.66,-0.26,11.14944165542058
Strategy,13,121,0.08,0.68,-0.29,11.144814573779355
Strategy,18,64,0.08,0.68,-0.28,11.138287241973007
Strategy,14,105,0.08,0.68,-0.29,11.134782353445159
Strategy,17,67,0.08,0.68,-0.29,11.1335460057839
Strategy,16,75,0.08,0.68,-0.26,11.12520889639728
Strategy,16,124,0.08,0.67,-0.29,11.117130899238004
Strategy,13,122,0.08,0.67,-0.3,11.107362758019736
Strategy,14,100,0.08,0.67,-0.29,11.09915752840126
Strategy,11,117,0.08,0.68,-0.3,11.09542264710312
Strategy,13,103,0.08,0.68,-0.3,11.09232687217862
Strategy,12,63,0.08,0.69,-0.28,11.058503404542284
Strategy,11,108,0.08,0.68,-0.28,11.043991593562646
Strategy,14,123,0.08,0.67,-0.3,11.001730791017938
Strategy,12,66,0.08,0.68,-0.27,10.998583307447394
Strategy,18,118,0.08,0.66,-0.28,10.980773417312893
Strategy,12,118,0.08,0.67,-0.28,10.959871970770562
Strategy,18,66,0.08,0.68,-0.3,10.920092742227814
Strategy,14,107,0.08,0.67,-0.27,10.914436872086121
Strategy,12,106,0.08,0.68,-0.27,10.910565895966652
Strategy,13,119,0.08,0.67,-0.29,10.903538991561577
Strategy,16,62,0.08,0.68,-0.29,10.872133245275863
Strategy,17,62,0.08,0.68,-0.28,10.85418811991725
Strategy,16,123,0.08,0.66,-0.3,10.845292191447122
Strategy,19,117,0.08,0.66,-0.29,10.794349735357216
Strategy,14,61,0.08,0.68,-0.26,10.794281411115623
Strategy,14,60,0.08,0.68,-0.3,10.790743568475879
Strategy,15,106,0.08,0.67,-0.29,10.784801211940358
Strategy,13,118,0.08,0.67,-0.27,10.743895678065387
Strategy,14,116,0.08,0.67,-0.25,10.739843899949804
Strategy,16,121,0.08,0.66,-0.27,10.718906271929491
Strategy,19,116,0.08,0.65,-0.3,10.712380177104391
Strategy,12,109,0.08,0.67,-0.28,10.694586607176161
Strategy,16,76,0.08,0.67,-0.29,10.69395568739452
Strategy,10,60,0.08,0.69,-0.29,10.628500540916836
Strategy,16,67,0.08,0.67,-0.27,10.615287139247632
Strategy,18,65,0.08,0.67,-0.28,10.585347344165523
Strategy,11,60,0.08,0.68,-0.3,10.577079560806368
Strategy,17,118,0.08,0.65,-0.25,10.553299218034155
Strategy,13,61,0.08,0.67,-0.26,10.523707510509448
Strategy,18,63,0.07,0.67,-0.28,10.5070718977557
Strategy,17,119,0.08,0.65,-0.26,10.496718645940348
Strategy,16,61,0.07,0.67,-0.29,10.494122775426288
Strategy,19,115,0.07,0.65,-0.28,10.492636282214667
Strategy,13,63,0.08,0.67,-0.3,10.491406786374489
Strategy,16,77,0.07,0.66,-0.3,10.452806395895431
Strategy,18,113,0.07,0.65,-0.28,10.45009153077123
Strategy,15,107,0.07,0.66,-0.3,10.44942377399651
Strategy,15,61,0.07,0.67,-0.29,10.445227759158623
Strategy,18,62,0.07,0.66,-0.29,10.440811418800296
Strategy,14,124,0.08,0.66,-0.3,10.437472293657729
Strategy,12,117,0.08,0.66,-0.29,10.437381570276665
Strategy,11,61,0.07,0.67,-0.25,10.433583969625326
Strategy,14,117,0.07,0.66,-0.26,10.419452470477387
Strategy,14,108,0.07,0.66,-0.3,10.414113557555615
Strategy,13,62,0.07,0.67,-0.26,10.405365108381693
Strategy,11,59,0.07,0.68,-0.27,10.37851702475122
Strategy,13,115,0.07,0.66,-0.3,10.378012526287767
Strategy,13,110,0.07,0.66,-0.29,10.375918737922937
Strategy,18,119,0.07,0.65,-0.29,10.37504468885986
Strategy,10,55,0.07,0.68,-0.29,10.366890420643724
Strategy,17,74,0.07,0.65,-0.3,10.36573560109152
Strategy,15,124,0.07,0.65,-0.29,10.281555950550173
Strategy,19,62,0.07,0.66,-0.29,10.27620476191273
Strategy,12,110,0.07,0.66,-0.3,10.2580757508879
Strategy,14,120,0.07,0.65,-0.3,10.231193969149322
Strategy,17,75,0.07,0.65,-0.29,10.21878705958492
Strategy,11,55,0.07,0.67,-0.28,10.215776330736638
Strategy,18,67,0.07,0.66,-0.3,10.201851831732869
Strategy,14,118,0.07,0.65,-0.29,10.197859645884135
Strategy,13,105,0.07,0.66,-0.3,10.195175391779955
Strategy,15,122,0.07,0.65,-0.29,10.193522413549807
Strategy,13,106,0.07,0.66,-0.29,10.190256039139323
Strategy,11,54,0.07,0.67,-0.29,10.163467974573289
Strategy,12,62,0.07,0.67,-0.29,10.151710085119841
Strategy,12,116,0.07,0.65,-0.3,10.140063918053377
Strategy,10,56,0.07,0.67,-0.3,10.123835922637708
Strategy,14,115,0.07,0.65,-0.26,10.085803878480162
Strategy,10,59,0.07,0.67,-0.29,10.08276628988802
Strategy,13,117,0.07,0.65,-0.29,10.077609267360641
Strategy,17,117,0.07,0.64,-0.27,10.07321367951922
Strategy,15,121,0.07,0.64,-0.29,10.010624725328977
Strategy,19,112,0.07,0.63,-0.3,10.005421342198543
Strategy,15,120,0.07,0.65,-0.3,10.002512821262712
Strategy,17,76,0.07,0.65,-0.29,9.991229094913805
Strategy,10,54,0.07,0.67,-0.29,9.964839361380482
Strategy,19,113,0.07,0.63,-0.29,9.954245215882835
Strategy,15,114,0.07,0.65,-0.28,9.952297054397382
Strategy,15,108,0.07,0.65,-0.3,9.948158540753381
Strategy,15,60,0.07,0.65,-0.29,9.941543625662183
Strategy,17,116,0.07,0.64,-0.27,9.938792097070941
Strategy,11,50,0.07,0.66,-0.27,9.90763828569583
Strategy,16,120,0.07,0.64,-0.28,9.899408610809772
Strategy,15,115,0.07,0.64,-0.29,9.869444643597745
Strategy,10,51,0.07,0.67,-0.29,9.862569423350497
Strategy,10,52,0.07,0.67,-0.28,9.8478374946601
Strategy,18,61,0.07,0.65,-0.29,9.825097768411313
Strategy,15,118,0.07,0.64,-0.28,9.821498270765215
Strategy,14,119,0.07,0.64,-0.3,9.819295167252418
Strategy,19,114,0.07,0.63,-0.29,9.801164861817247
Strategy,13,107,0.07,0.64,-0.3,9.795401068449065
Strategy,11,58,0.07,0.66,-0.28,9.758465526042578
Strategy,15,119,0.07,0.64,-0.28,9.752060768494674
Strategy,15,116,0.07,0.64,-0.28,9.732420782454849
Strategy,17,114,0.07,0.63,-0.3,9.5628130997254
Strategy,17,115,0.07,0.63,-0.29,9.55275563222854
Strategy,15,113,0.07,0.63,-0.3,9.546521456759791
Strategy,18,112,0.07,0.62,-0.28,9.541577094336322
Strategy,11,53,0.07,0.65,-0.3,9.53431498592466
Strategy,11,51,0.07,0.65,-0.28,9.461307287236455
Strategy,17,82,0.07,0.63,-0.3,9.43014118022384
Strategy,14,113,0.07,0.63,-0.3,9.38511376574491
Strategy,14,114,0.07,0.63,-0.29,9.366106836207342
Strategy,10,53,0.07,0.65,-0.3,9.344380400195137
Strategy,12,51,0.07,0.64,-0.28,9.31414200393849
Strategy,12,61,0.07,0.64,-0.28,9.285344295278128
Strategy,17,113,0.07,0.62,-0.3,9.24187735415573
Strategy,15,117,0.07,0.62,-0.3,9.226230387569839
Strategy,16,107,0.07,0.62,-0.28,9.218441915293303
Strategy,16,109,0.07,0.62,-0.29,9.217991019332285
Strategy,16,108,0.07,0.62,-0.28,9.189623143961036
Strategy,10,50,0.07,0.64,-0.28,9.16503692939843
Strategy,17,112,0.07,0.61,-0.29,9.140376946190099
Strategy,27,122,0.07,0.59,-0.3,9.13807930057011
Strategy,16,81,0.07,0.62,-0.3,9.089910335672872
Strategy,13,60,0.07,0.63,-0.29,9.07512649692921
Strategy,16,119,0.07,0.61,-0.3,9.061413428401169
Strategy,12,54,0.07,0.64,-0.29,9.048615646598265
Strategy,12,55,0.07,0.63,-0.3,9.029501952550602
Strategy,27,121,0.07,0.58,-0.3,8.994404103212684
Strategy,28,123,0.07,0.58,-0.28,8.98746185788523
Strategy,16,118,0.07,0.61,-0.3,8.986382759003913
Strategy,16,114,0.07,0.61,-0.25,8.938769411507554
Strategy,13,52,0.07,0.63,-0.27,8.917296397779433
Strategy,15,59,0.07,0.63,-0.3,8.894017254913036
Strategy,16,115,0.07,0.61,-0.27,8.875926074055583
Strategy,16,113,0.07,0.61,-0.26,8.815436455527072
Strategy,12,52,0.07,0.63,-0.28,8.796851781631997
Strategy,13,53,0.07,0.63,-0.28,8.78680817769117
Strategy,16,116,0.07,0.6,-0.29,8.782843115719212
Strategy,11,57,0.07,0.63,-0.3,8.777369025294636
Strategy,11,52,0.07,0.63,-0.3,8.763677815864659
Strategy,16,111,0.07,0.6,-0.29,8.762575108957352
Strategy,13,51,0.07,0.62,-0.28,8.759006500476488
Strategy,16,110,0.07,0.6,-0.28,8.717762489469603
Strategy,32,62,0.07,0.6,-0.3,8.705245666426201
Strategy,17,111,0.07,0.6,-0.3,8.692997643068406
Strategy,16,112,0.07,0.6,-0.26,8.691156363753334
Strategy,13,54,0.07,0.62,-0.3,8.684392171507593
Strategy,14,52,0.07,0.62,-0.28,8.623452433775123
Strategy,18,110,0.07,0.59,-0.28,8.540931875590585
Strategy,13,55,0.07,0.62,-0.3,8.531039499564256
Strategy,30,89,0.07,0.59,-0.3,8.494135233484469
Strategy,27,118,0.07,0.57,-0.29,8.488285811135436
Strategy,18,109,0.07,0.59,-0.27,8.476494012859353
Strategy,17,110,0.07,0.59,-0.3,8.462217438424949
Strategy,12,53,0.07,0.62,-0.28,8.462076838707663
Strategy,29,120,0.07,0.57,-0.3,8.448506460368543
Strategy,29,89,0.07,0.59,-0.29,8.417535198310343
Strategy,28,122,0.07,0.56,-0.3,8.36664220428814
Strategy,14,50,0.07,0.61,-0.29,8.353100207618146
